Title,Vendor,Category,Sub Category,Guidance,Price,Prerequisite,
C_ARCON_2202 - SAP Certified Application Associate - SAP Ariba Contracts,SAP,SAP,"SAP Procurement, MFG & Supply chain",View Details,,,
C_ARSCC_2202 - SAP Certified Application Associate - SAP Ariba Supply Chain Collaboration,SAP,SAP,"SAP Procurement, MFG & Supply chain",View Details,,,
C_IBP_2111 - SAP Certified Application Associate - SAP IBP for Supply Chain (2111),SAP,SAP,"SAP Procurement, MFG & Supply chain",View Details,,,
C_S4EWM_2020 - SAP Certified Application Associate - Extended Warehouse Management with SAP S/4HANA,SAP,SAP,"SAP Procurement, MFG & Supply chain",View Details,,,
C_S4TM_2020 - SAP Certified Application Associate - Transportation Management in SAP S/4HANA,SAP,SAP,"SAP Procurement, MFG & Supply chain",View Details,,,
C_TS410_1909 - SAP Certified Application Associate - Business Process Integration with SAP S/4HANA 1909,SAP,SAP,"SAP Procurement, MFG & Supply chain",View Details,,,
C_TS410_2020 - SAP Certified Application Associate - Business Process Integration with SAP S/4HANA 2020,SAP,SAP,"SAP Procurement, MFG & Supply chain",View Details,,,
C_TS422_1909 - SAP Certified Application Associate - SAP S/4HANA Production Planning and Manufacturing,SAP,SAP,"SAP Procurement, MFG & Supply chain",View Details,,,
C_TS422_2020 - SAP Certified Application Associate - SAP S/4HANA Production Planning and Manufacturing,SAP,SAP,"SAP Procurement, MFG & Supply chain",View Details,,,
C_TS450_2020 - SAP Certified Application Associate - SAP S/4HANA Sourcing and Procurement - Upskilling for ERP Experts,SAP,SAP,"SAP Procurement, MFG & Supply chain",View Details,,,
C_TS452_1909 - SAP Certified Application Associate - SAP S/4HANA Sourcing and Procurement,SAP,SAP,"SAP Procurement, MFG & Supply chain",View Details,,,
C_TS452_2020 - SAP Certified Application Associate - SAP S/4HANA Sourcing and Procurement,SAP,SAP,"SAP Procurement, MFG & Supply chain",View Details,,,
C_ARCIG_2202 - SAP Certified Application Associate - SAP Ariba Integration with Cloud Integration Gateway,SAP,SAP,"SAP Procurement, MFG & Supply chain",View Details,,,
C_ARP2P_2202 - SAP Certified Application Associate - SAP Ariba Procurement,SAP,SAP,"SAP Procurement, MFG & Supply chain",View Details,,,
C_ARSOR_2202 - SAP Certified Application Associate - SAP Ariba Sourcing,SAP,SAP,"SAP Procurement, MFG & Supply chain",View Details,,,
C_ARSUM_2202 - SAP Certified Application Associate - SAP Ariba Supplier Management,SAP,SAP,"SAP Procurement, MFG & Supply chain",View Details,,,
C_S4CAM_2202 - SAP Certified Application Associate - SAP S/4HANA Cloud (public) - Asset Management Implementation,SAP,SAP,"SAP Procurement, MFG & Supply chain",View Details,,,
C_S4CMA_2202 - SAP Certified Application Associate - SAP S/4HANA Cloud (public) - Manufacturing Implementation,SAP,SAP,"SAP Procurement, MFG & Supply chain",View Details,,,
C_S4CPR_2202 - SAP Certified Application Associate - SAP S/4HANA Cloud (public) – Sourcing and Procurement Implementation,SAP,SAP,"SAP Procurement, MFG & Supply chain",View Details,,,
C_SIG_2201 - SAP Certified Application Associate - SAP Signavio,SAP,SAP,"SAP Procurement, MFG & Supply chain",View Details,,,
